dataset,gene,mean_expr,sd_expr,max_expr,missingness,included,is_teff5,mean_bin,sd_bin,bin_id
IMmotion150,AC022166.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022166.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022167.1,0.0205417652601121,0.158662053736776,1.46710718608241,0,TRUE,FALSE,2,5,205
IMmotion150,AC022167.2,0.421341394979095,0.569320675492671,2.08364206287565,0,TRUE,FALSE,5,8,508
IMmotion150,AC022167.3,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022167.4,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022168.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022182.1,0.753013431140857,0.684326140343292,2.44966144736643,0,TRUE,FALSE,5,9,509
IMmotion150,AC022182.2,0.686261299162593,0.69238436490617,2.07025705774804,0,TRUE,FALSE,5,9,509
IMmotion150,AC022188.1,0.00401334972617396,0.0533941453377688,0.71036290153279,0,TRUE,FALSE,1,1,101
IMmotion150,AC022196.1,0.00499535905662119,0.0664589297424237,0.88417855302195,0,TRUE,FALSE,1,2,102
IMmotion150,AC022201.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022201.2,0.140101866062495,0.361786339292365,1.46301481926745,0,TRUE,FALSE,4,7,407
IMmotion150,AC022202.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022206.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022210.1,0.157145068029487,0.401109474457963,1.74417549340891,0,TRUE,FALSE,4,7,407
IMmotion150,AC022211.1,0.0844842143886281,0.275941762305342,1.46566438381862,0,TRUE,FALSE,3,6,306
IMmotion150,AC022211.2,2.37732704959467,0.187858994710748,2.71497878856547,0,TRUE,FALSE,7,5,705
IMmotion150,AC022211.3,0.0602988048040995,0.238115163731506,1.24813942889046,0,TRUE,FALSE,3,6,306
IMmotion150,AC022211.4,1.10828133229596,0.651313522564328,2.1625200251203,0,TRUE,FALSE,6,9,609
IMmotion150,AC022215.1,0.0425540010330862,0.213437532949556,1.36480111299454,0,TRUE,FALSE,3,5,305
IMmotion150,AC022215.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022217.1,1.42605273476121,0.785024803900661,2.92672343379745,0,TRUE,FALSE,6,10,610
IMmotion150,AC022217.2,0.123942890944823,0.369824520346576,1.87621106683468,0,TRUE,FALSE,4,7,407
IMmotion150,AC022217.3,0.00998399930955339,0.0966572330685838,1.10775295182007,0,TRUE,FALSE,1,3,103
IMmotion150,AC022217.4,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022239.1,0.220737853813078,0.493997773600403,2.0437006114739,0,TRUE,FALSE,4,8,408
IMmotion150,AC022239.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022254.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022267.1,0.00598817259095986,0.0796674547309301,1.0599065485999,0,TRUE,FALSE,1,3,103
IMmotion150,AC022272.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022276.1,0.0126718276255183,0.096850728534722,0.783536409799952,0,TRUE,FALSE,2,3,203
IMmotion150,AC022296.1,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022296.2,0,0,0,0,FALSE,FALSE,,,
IMmotion150,AC022296.3,0.714887120876057,0.708314952089457,2.45252982610818,0,TRUE,FALSE,5,9,509
